Date	Name	Location	Amount
3/30/2024	BurritoBandito	Red Bluff	14.51
4/3/2024	FoodMaxx	Red Bluff	6.95
4/3/2024	OneStopGas&Food	Red Bluff	34.00
4/3/2024	WoodlandFuelStop	Red Bluff	72.00
4/3/2024	Hampton Inn	Red Bluff	153.85
4/7/2024	KopperKettleCafe	Red Bluff	61.52
4/13/2024	Ramos Donut House	Red Bluff	2.68
4/13/2024	Chevron	Red Bluff	3.98
4/15/2024	T-Mobile	Red Bluff	20
4/20/2024	Chevron	Red Bluff	73
4/20/2024	JiffyLube	Red Bluff	144.78
4/20/2024	Red Lobster	Red Bluff	87
4/22/2024	Chevron	Red Bluff	19.00
4/25/2024	Dysney Plus	Red Bluff	13.99
4/26/2024	BoardgameArena	Red Bluff	5
